material_id,formula,band_gap,formation_energy_per_atom,energy_above_hull,is_metal,is_stable,nsites,density,nelements,elements,chemsys,key
mp-29536,Ag5CF4,1.9781,-0.7373676092083281,0.248403451916667,False,False,40,6.89252909177272,3,"['Ag', 'C', 'F']",Ag-C-F,Ag5CF4
mp-759408,AgH8C4N8F,3.848799999999999,-0.365111792121211,0.100826485681823,False,False,44,2.1177581477411582,5,"['Ag', 'C', 'F', 'H', 'N']",Ag-C-F-H-N,AgH8C4N8F
mp-690698,AgSbH2C2(NF3)2,2.8326,-1.334035377797619,0.161056403541667,False,False,28,2.8266605487579253,6,"['Ag', 'C', 'F', 'H', 'N', 'Sb']",Ag-C-F-H-N-Sb,AgSbH2C2(NF3)2
mp-1215075,AgH2C7O3F5,2.8293,-1.04282624787037,0.248512294560185,False,False,72,2.327300853939073,5,"['Ag', 'C', 'F', 'H', 'O']",Ag-C-F-H-O,AgH2C7O3F5
mp-605676,AgH8C7S2O2F7,3.1637,-0.926471940802468,0.25925324505291,False,False,108,2.119016596753227,6,"['Ag', 'C', 'F', 'H', 'O', 'S']",Ag-C-F-H-O-S,AgH8C7S2O2F7
mp-605808,AgH8C4S3(OF)3,3.485299999999999,-0.747611664109848,0.333542345032466,False,False,176,2.135782194472062,6,"['Ag', 'C', 'F', 'H', 'O', 'S']",Ag-C-F-H-O-S,AgH8C4S3(OF)3
mp-555250,AgH9C7S2(OF)4,3.1765,-0.8448264338117281,0.252888147414019,False,False,54,2.078942306379149,6,"['Ag', 'C', 'F', 'H', 'O', 'S']",Ag-C-F-H-O-S,AgH9C7S2(OF)4
mp-559423,AgH8C5S2O2F3,3.3148,-0.7263921232936511,0.241011438044217,False,False,84,2.027577278105089,6,"['Ag', 'C', 'F', 'H', 'O', 'S']",Ag-C-F-H-O-S,AgH8C5S2O2F3
mp-1204104,SiAgH16C7S3(OF)3,3.2777,-0.5606046617401961,0.326422293501405,False,False,136,1.578587286203843,7,"['Ag', 'C', 'F', 'H', 'O', 'S', 'Si']",Ag-C-F-H-O-S-Si,SiAgH16C7S3(OF)3
mp-3206852,AgCNF14,2.2737,-0.9848308943382352,0.0,False,True,17,2.833752844406861,4,"['Ag', 'C', 'F', 'N']",Ag-C-F-N,AgCNF14
mp-640564,AgSbC6N4(OF3)2,1.4658,-0.928049249833333,0.283270742604166,False,False,40,2.528851476109752,6,"['Ag', 'C', 'F', 'N', 'O', 'Sb']",Ag-C-F-N-O-Sb,AgSbC6N4(OF3)2
mp-561205,AgC4OF9,2.4341,-1.638952751111111,0.173303791805556,False,False,60,2.856470562828612,4,"['Ag', 'C', 'F', 'O']",Ag-C-F-O,AgC4OF9
mp-1188917,AgCS(OF)3,2.7068,-1.581723105462963,0.152708039756945,False,False,18,2.9604686901149773,5,"['Ag', 'C', 'F', 'O', 'S']",Ag-C-F-O-S,AgCS(OF)3
mp-1200256,AgCS2(O2F)3,3.306,-1.585506601858973,0.157904896057693,False,False,52,2.857539651882541,5,"['Ag', 'C', 'F', 'O', 'S']",Ag-C-F-O-S,AgCS2(O2F)3
mp-690706,FeAg3H6(C3N4)2,0.0,0.032577229687499,0.270750025677084,True,False,48,2.610714841018538,5,"['Ag', 'C', 'Fe', 'H', 'N']",Ag-C-Fe-H-N,FeAg3H6(C3N4)2
mp-568663,FeAg3(CN)6,0.0,0.2795022934375,0.3187204718749999,True,False,16,2.871309732244166,4,"['Ag', 'C', 'Fe', 'N']",Ag-C-Fe-N,FeAg3(CN)6
mp-3249917,GdAg(CO3)2,3.2611,-1.877354740749999,0.0,False,True,10,5.023319264547458,4,"['Ag', 'C', 'Gd', 'O']",Ag-C-Gd-O,GdAg(CO3)2
mp-603946,AgMo4H22C8(NO5)3,2.1547,-0.8299762871540881,0.247921202893082,False,False,106,2.629893143787775,6,"['Ag', 'C', 'H', 'Mo', 'N', 'O']",Ag-C-H-Mo-N-O,AgMo4H22C8(NO5)3
mp-1193968,AgH3CN2,3.0167,-0.116706776130952,0.172822412440476,False,False,28,2.529796589101021,4,"['Ag', 'C', 'H', 'N']",Ag-C-H-N,AgH3CN2
